gene,1,2,3,4,5,6,7,8
Q9L0T5,-1.8961660249732248,0.696657235444196,0.995020635566422,1.399104656981295,-0.4408531618649526,0.013768958477721959,-0.8749734307155913,0.10744113108413374
Q93RW0,-1.0639363292021964,2.1536725339125677,0.27005971118947736,0.42188827722880434,0.08921718266260566,0.0822641950762993,-1.1448937490080375,-0.8082718218594911
O86775,-1.9086837948039,0.9295650573720999,-0.367703646800271,-0.3210981776201048,0.25051245495362273,-0.7540460650744524,0.721325936706547,1.4501282352667586
P46790,-0.1742652757743319,-1.970644596791331,0.23330756961594157,1.3630215139621695,1.0077812258621313,0.3844060900130177,0.15034374121910643,-0.9939502681067954
O31213,2.3757028961423017,-0.14766027207799015,-0.12263198388722356,0.24945652863582787,-0.25228224071569966,-0.08778975031756973,-1.2866034777214221,-0.7281917000581419
Q9X8U5,1.859555945183629,0.49974791050931583,0.45760274859041866,0.29720042040312494,-0.04163877153811969,-0.2974357272593431,-1.2232439459642381,-1.5517885799247384
P46788,2.463331117735493,0.38203572907502065,-0.18218944525330905,-0.821961019000911,-0.16612152926336568,-0.28384610426989804,-0.7209628942412272,-0.6702858547819109
Q9F2L4,0.18514546847634417,-1.0522008232252706,-0.46152518563615086,-0.9564752075540949,1.8212687174758875,-0.6719528726268906,1.3794274958514672,-0.2436875927612273
Q9KXU5,1.5567391595945013,-0.8763157123183968,0.07910471360977932,-1.4792206643195105,-0.41705412465237673,0.3650882527796214,-0.6165007811112407,1.3881591564175055
Q9L1I0,-1.2977370777750104,-0.2121595715450618,-0.7759040966121397,-0.5611602353505,-0.8229291852553065,0.9881526693952819,1.112370748007724,1.569366749134955
P0A300,-1.1080553691563177,-0.8136105521712911,-0.7787868833823084,-0.657725528037405,-0.1464390191432797,0.40028991936241026,1.3636982309950532,1.7406292015329172
P46787,1.8646627559466142,1.0731575945568859,0.31315539865896125,0.19601071229950334,-0.44946617485228413,-1.1436647598631209,-0.8699189988205003,-0.9839365279259987
Q93IY4,-1.6925798662335425,-1.238015197050533,-0.6575462995017484,0.2661756340079166,0.7881943844432387,0.6433258768646062,0.572889173661285,1.3175562938087437
Q9RI47,-2.4195992209887596,-0.16055698382188432,-0.23742365003173777,-0.004821781964329255,0.505860662562973,0.6856666540295073,0.7543694476189211,0.8765048725953293
Q9RIY6,-2.5702646808882808,-0.13717796563468102,0.1513473867147901,0.3398583715591603,0.4766802793353878,0.5858482839447197,0.5934098515191932,0.5602984734497188
P46789,2.3499865194043967,0.31565319044529483,-0.11867077806956725,0.3167314141359204,-0.5004042355422768,-0.536811688091646,-0.7445249626585693,-1.0819594596235766
Q9S2J5,0.1953109524753672,-0.40898865256457456,-0.7835392909864081,-1.1142083529444795,-1.228560250075661,0.6953747702515647,0.8483337483911771,1.7962770754530142
