"gene","1","2","3","4","5","6","7","8"
"Q9X8T5",17.7507042189025,17.6265356700139,17.6302166972505,17.4457559211635,17.4345180102768,17.3452413196942,17.1698871894024,16.7693821487647
"O86655",17.346987656992,17.3361615226982,17.284369791539,17.3283349519228,17.3577922226531,17.3849485788376,17.459497802015,17.4623781559935
"P48950",17.3028431686875,17.2437884897981,17.263821296002,17.215312127508,17.2263400451832,17.0999449004624,17.1900150175496,17.0985890787363
"Q9KXU7",16.0251329418142,15.8576989338063,15.5828215525518,15.8706199688902,16.0235085203308,15.6665899240039,15.7019675723698,15.6665809008895
"Q9L1E1",12.4261843043013,13.5702226165542,13.3284901087792,13.6453014168655,13.8851562733011,13.401220925678,14.0031226261998,13.6896890757667
"Q9L0K4",17.104277091608,17.1927621564395,17.23378607932,17.2971512570399,17.3644277812491,17.4712076319332,17.5446712394996,17.4876521010776
"Q9L0D2",16.9102484019321,16.9503918372773,17.0195120876529,17.0065110391467,17.2318868713724,17.319458973283,17.2326918549997,17.3682393645384
"P40171",18.0011154069235,17.9759040079615,17.982239926107,17.9826868955924,18.0039872006446,17.85112387975,17.906505367475,17.888367913046
"P0A3H5",16.3588464029885,16.5864253289364,16.6910013133527,16.6130961152255,16.7030595408011,16.654838173308,16.3857267684595,17.048251873152
"P41103",17.2880639094092,17.0250450624467,17.2263048645333,17.1938858172105,17.2219818532341,17.2750071811358,17.3355315783448,17.2915602136013
"P80735",13.3598648653414,15.7533349021143,15.0198214170931,15.8816602324391,15.2521442413179,15.9190958755802,15.7990854668245,16.7898196147221
"Q9ZBR5",15.1475856485233,15.0063665206279,15.8364510570646,15.6786704875936,15.3446817581745,15.2306397316437,15.1531576443501,13.6731452394607
"Q9L0T5",16.3486191235925,16.3540753801998,16.3185556733169,16.7183371667174,16.8332672621613,16.8082633223433,16.9245323361958,16.7956374970404
"Q93IZ3",12.1463018244859,12.7342174093405,13.0585551512378,13.1551669071073,13.4990247060895,14.071908237798,15.3732237943001,16.2314319149757
"O86775",17.159575557076,17.1974381081324,17.4661268390031,17.4345743692853,17.5138039524208,17.5427182393167,17.56386612907,17.6222291809037
"P46790",17.1134965007813,17.4700738681193,17.3803065663822,17.4720450951677,17.388126894134,17.127667823421,17.0965145950732,16.810612658184
"O31213",17.2414658617682,17.3149824173,17.2710435520003,17.1371906495597,17.077718243418,17.149486872917,17.0294844039206,16.9477318435511
"Q9X8U5",17.3046330544536,17.2777985243079,17.3010069772341,17.1031986785002,17.0282947565134,16.6049706362799,16.7623239962901,16.4933355472754
"P46788",17.3948163062953,17.344650581918,17.3100112230863,17.2159585978996,17.1811734834482,17.0897214376621,17.1818614891332,17.2169452015072
"Q9F2L4",15.9856900161747,16.6947518522367,16.9834276862792,16.7172101858681,16.6377476553867,16.9819069312222,16.3292543635846,17.2752140159055
"Q7AKR0",14.6361824956838,14.7123805036437,14.3421541097764,13.7964341241612,13.9802159881033,13.6433502365924,13.5976334421064,15.0871104553516
"Q9KXU5",17.3839915602738,17.7141311012371,17.3194409875447,17.6322103480555,17.5161177371477,17.7904008131123,17.4627895947542,17.5325353488658
"Q9L1I0",16.849055679502,16.703694132864,16.780161609812,16.7035372614902,16.7087662396262,16.7210002541344,16.8051279633807,16.8582048778162
"P0A300",17.0685554801957,17.16654950118,17.1024464715391,17.1682023865789,17.248078431073,17.3255468751477,17.385201328083,17.4333458413942
"P46787",17.4125534620936,17.3866558396957,17.2576123337576,17.3032752130454,17.2300286120397,17.2093006800528,17.2180700769067,17.0331311389918
"Q93IY4",13.0277148551518,14.1704705186159,13.6894658796812,13.6058694037355,13.8813614310809,14.2408259673758,14.5334992438514,14.6927389459059
"Q9RI47",14.3168933957396,17.0325086391324,16.9773924787535,17.3944786801086,17.5139426061803,17.4007571238929,17.3683021611628,16.8711895922953
"Q9RIY6",12.8976828188792,16.3265725012074,16.8420317650378,17.0608187957766,17.1470810744188,16.9964675385617,16.8503569286159,16.2437826983393
"P46789",16.1925443436321,16.3470626236246,16.2363411048374,16.0755945975905,16.3483540572364,15.8610182426763,16.268768831897,16.4026374486802
"Q9S2J5",17.1105114085803,17.0687141554677,17.0181408041146,17.0600844790782,17.2075142301795,17.3535145147343,17.4051931790174,17.4851820404278
"Q9L0E0",17.1925027516152,17.1459948280943,17.1885694523181,17.3299825065563,17.2132086566463,17.211720762128,17.1609320166582,17.1920694650596
"Q9K4D5",17.4622520120349,17.2471299909117,17.1144528703693,17.1897994078923,17.1807739443995,17.304773507119,17.2398674302559,17.1944356749281
"P46786",17.5288621848812,17.601286592872,17.5137894892896,17.5255023416357,17.3499148041237,17.3167079372437,17.3453073705491,17.2922013584473
"Q9X8N1",16.8887449276199,16.8700619148625,16.9268542683563,17.0369882795997,17.0072524956151,17.0321483278838,17.0318306146927,16.9081321545873
"P0A477",17.4322488789698,17.564336533039,17.3425928251493,17.3180675878362,17.1723842914226,16.9146282007359,16.8677717740151,16.7357891860052
"Q9L0D7",17.6709555047448,17.2689013362903,17.2877121565533,17.3360992109413,17.2279159288216,17.1617444664297,17.1369336152485,16.8269202247932
"O88060",16.6623449634411,16.4725807069383,16.46808303516,16.5617135435774,16.2339077027038,16.2707173907985,16.0992935768981,15.868630176955
"Q9S2Q6",17.2815024192194,17.4830752070872,17.6348234549651,17.7075520808083,17.7262371010047,17.6979356591353,17.7127847751578,17.5989218214576
"Q8CJU3",13.2686751640291,13.146193013775,13.3349215412801,16.3403766120735,16.78900090279,17.1299285817481,17.1379597883822,17.3343613709717
"Q9L0D0",17.5739060135449,17.2401115638456,17.207903367031,17.1808704325189,17.060241017091,16.8906051078065,16.9494394961103,16.935029383717
"Q9RI46",14.6316568586397,17.0698248918471,17.2440819165924,17.3612316238941,17.3371200621961,17.2294249271742,17.2275496681819,16.868078089316
"Q9L0C8",17.3756803510979,17.4003635326291,17.3765273088093,17.5084853618939,17.4402918633751,17.3489395326611,17.4501874585158,17.4502458633443
"Q9RK34",13.1679588397025,15.1380048111451,15.708618175753,15.592800905139,16.0404171481403,16.0977298301067,16.0001375260444,15.9737197307782
"O88058",16.9629552060642,16.728945182604,17.0232241151091,16.8665927956287,16.7690594028209,16.8402852997309,16.8541574735007,16.9941591788492
"Q9F2U7",16.9041371307917,16.6119682356893,16.5634250636997,16.5612066367396,16.5505947821634,16.5023790961542,16.4871807872823,16.2957296562542
"Q9ZBJ2",15.8380712746574,16.2217507550576,16.3053117425337,16.4652545903186,16.6262889401535,16.6199150398435,16.5958175312646,16.6419206326543
