"gene","33h","41h","45h","49h","53h","57h","61h","65h"
"Q9L0T5",16.7257264617337,16.8946948543701,16.9141385183135,16.9404717546088,16.8205658898646,16.8501925790817,16.792275259663,16.8562969814456
"Q93RW0",15.3027149136792,15.8913076629215,15.5467409685218,15.574514758594,15.5136596943291,15.5123877939046,15.28790548459,15.3494832692073
"O86775",17.413644429943,17.6151580528041,17.5230529098031,17.5263618645244,17.5669458074537,17.4956228765586,17.6003732253234,17.6521176632432
"P46790",17.3040352927637,17.0955430144059,17.351339216906,17.4824566437176,17.4412265671052,17.3688760892166,17.3417102274151,17.2089006017841
"O31213",17.3330114995466,17.1154252680004,17.1175834238212,17.1496681186686,17.1064038555539,17.120587823028,17.0172157184666,17.0653668193002
"Q9X8U5",17.6077786991853,17.2147152906641,17.2025328939036,17.1561673156423,17.058223132104,16.9842829723599,16.7166706882714,16.6217022292074
"P46788",17.3903349931309,17.2537479536187,17.216720126334,17.1747344929163,17.2177745989899,17.2100488089528,17.1813625933447,17.1846883234783
"Q9F2L4",16.6281848091068,16.28682766979,16.4497823311195,16.3132363013461,17.0795559051321,16.3917298734155,16.9576614472447,16.5098790219474
"Q9KXU5",17.744926328958,17.5236136537077,17.6105194826275,17.4687729226624,17.5653884660144,17.6365327809143,17.5472466338592,17.7295921530101
"Q9L1I0",16.7449910998187,16.8122002936828,16.7772983038593,16.7905933120184,16.7743869333851,16.8865128302229,16.8942032962458,16.9224963777242
"P0A300",17.1843053809286,17.2173826663,17.2212946809247,17.23489444824,17.2923312540035,17.3537495846263,17.4619767627419,17.504320361809
"P46787",17.3255338855667,17.2326532282004,17.143469345393,17.1297227825065,17.0539780868078,16.9725160521126,17.0046392617607,16.9912596610061
"Q93IY4",13.8424819149682,13.938380041207,14.0608397997159,14.2557146076249,14.365843316304,14.3352808477057,14.3204210305805,14.4775211888971
"Q9RI47",16.6571363036555,17.4737939874148,17.4460062141043,17.5300932221685,17.714708071516,17.7797090449822,17.8045455280534,17.8486982365
"Q9RIY6",16.1789559165334,17.251721250945,17.3789341423553,17.4620499838208,17.522375741522,17.5705086955337,17.5738426447583,17.5592436013519
"P46789",16.8487412451276,16.5485113233848,16.4844131496873,16.5486704492319,16.4280763613979,16.4227032956991,16.3920486634024,16.3422495812289
