gene,PM,MM,BN,SN,PMN
ENSG00000140718,9.3697137,5.2544593,3.2955523,1.7870598,0.2269516
ENSG00000140740,45.08583,38.49803,38.03255,34.12206,40.00601
ENSG00000140749,0.7993645,19.8187899,57.238772,157.2130184,251.170024
ENSG00000140750,8.029376,6.866771,5.949685,6.528645,5.750096
ENSG00000140829,17.76873,19.66959,22.04799,18.34785,25.60935
ENSG00000140848,45.14169,99.4382,86.3052,30.96004,18.23245
ENSG00000140983,16.55833,21.6354,30.39359,23.52162,35.01225
ENSG00000140988,813.01628,284.58093,204.14282,181.34256,60.13677
ENSG00000140990,35.69445,31.46513,30.9695,24.09791,20.03465
ENSG00000140992,12.82876,24.49684,31.39477,34.54317,40.76833
ENSG00000141012,26.39777,55.57596,71.0795,45.72453,32.66719
ENSG00000141027,59.90392,85.98748,89.81335,68.20827,70.78551
ENSG00000141030,44.3582,27.75903,27.01796,35.73352,37.85559
ENSG00000141127,9.329253,14.738295,18.308291,9.911884,6.182283
ENSG00000141179,11.35981,15.14989,17.34508,22.32901,23.16939
ENSG00000141252,12.55505,22.4209,28.10824,12.74581,17.15133
ENSG00000141279,33.5072,75.42917,79.55148,109.11127,158.11064
ENSG00000141295,9.247537,6.660792,5.16864,3.810209,2.715344
ENSG00000141367,72.50981,68.07374,82.17421,91.25747,87.88424
ENSG00000141378,5.206282,1.442196,1.021199,3.267158,5.313425
ENSG00000141385,19.831816,6.350374,4.804097,3.312603,1.413914
ENSG00000141401,35.71605,33.53981,45.12927,63.81098,95.6768
ENSG00000141429,29.75199,46.01025,58.75176,39.25892,36.74544
ENSG00000141447,25.57137,20.678153,15.642128,11.008333,3.112088
ENSG00000141452,13.25384,19.56468,22.75428,21.16936,26.58116
ENSG00000141456,7.0137219,1.7262654,0.9400438,1.2893105,0.3546969
ENSG00000141480,72.20204,203.59968,231.94147,389.41396,544.64458
ENSG00000141522,49.66322,72.95108,93.62314,90.71671,119.90951
ENSG00000141524,49.23628,49.68529,66.1517,63.9152,38.40236
ENSG00000141526,42.20104,114.8045,200.8506,262.02997,340.88644
ENSG00000141543,28.40322,23.59594,21.88337,28.9213,49.1662
ENSG00000141556,10.636587,31.556736,46.818146,19.333834,3.744548
ENSG00000141560,11.528308,3.6268717,2.4585828,1.5509237,0.7939017
ENSG00000141741,7.810323,15.315172,20.12099,21.218491,30.500304
ENSG00000141759,30.31892,20.79432,17.41932,12.68238,11.40596
ENSG00000141867,9.516225,11.007653,12.381567,21.42593,35.858254
ENSG00000141959,33.143129,20.565901,19.420359,13.458808,8.576532
ENSG00000141968,32.81752,75.86426,113.3311,127.89501,144.57159
ENSG00000141985,10.54006,14.50435,15.86807,16.12656,18.78132
ENSG00000142002,9.974449,11.644311,11.190047,9.62325,9.868585
ENSG00000142168,37.602346,9.611008,10.315604,11.774893,3.332486
ENSG00000142186,9.856339,10.909331,12.991573,23.983394,56.383764
ENSG00000142188,24.127682,19.648641,13.446693,6.849634,5.026614
ENSG00000142192,106.75009,77.19441,40.734,14.34509,4.97304
ENSG00000142197,30.16005,38.43616,34.67559,19.39753,18.46788
ENSG00000142208,34.13281,18.34516,20.24137,72.96089,122.73362
ENSG00000142227,10.39065,63.46305,108.91419,87.41015,75.08267
ENSG00000142230,24.119873,14.524774,7.634922,5.644294,2.799008
ENSG00000142347,90.30922,221.01749,319.3288,748.5412,1155.5873
ENSG00000142409,10.64514,19.36799,32.68703,22.34237,18.60826
ENSG00000142507,31.36712,33.99146,33.3491,21.08296,15.74718
ENSG00000142534,1206.08,578.9636,398.6949,389.392,281.5931
ENSG00000142541,909.16823,439.8939,311.47116,249.37032,97.20859
ENSG00000142583,130.990261,60.288398,20.340914,7.459948,1.025886
ENSG00000142634,34.94608,79.9314,99.18338,144.24064,197.89043
